죽고 싶지만 떡볶이는 먹고 싶어,백세희|흔|2018년06월20일,"12,420원"
돌이킬 수 없는 약속,야쿠마루가쿠|북플라자|2017년02월02일,"13,500원"
21세기를 위한 21가지 제언,유발하라리|김영사|2018년09월03일,"19,800원"
"곰돌이 푸, 행복한 일은 매일 있어",곰돌이푸(원작)|알에이치코리아|2018년03월12일,"10,800원"
나는 나로 살기로 했다(100쇄 기념 스페셜 에디션)(양장본 HardCover),김수현|마음의숲|2016년11월28일,"12,420원"
초격차(양장본 HardCover),권오현저자더보기김상근(정리)|쌤앤파커스|2018년09월10일,"16,200원"
언어의 온도(100만부 돌파 기념 양장 특별판),이기주|말글터|2016년08월19일,"12,420원"
열두 발자국,정재승|어크로스|2018년07월02일,"15,120원"
나미야 잡화점의 기적(양장본 HardCover),히가시노게이고|현대문학|2012년12월19일,"13,320원"
뼈 있는 아무 말 대잔치,신영준저자더보기고영성|로크미디어|2018년09월13일,"14,220원"
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주|민음사|2016년10월14일,"11,700원"
역사의 역사,유시민|돌베개|2018년06월25일,"14,400원"
살인의 문. 1(양장본 HardCover),히가시노게이고|재인|2018년08월31일,"13,320원"
오늘처럼 내가 싫었던 날은 없다,글배우|21세기북스|2018년09월07일,"14,400원"
인생 우화(양장본 HardCover),류시화|연금술사|2018년07월30일,"14,400원"
모든 순간이 너였다,하태완|위즈덤하우스|2018년02월16일,"12,420원"
사피엔스,유발하라리|김영사|2015년11월24일,"19,800원"
하마터면 열심히 살 뻔했다,하완|웅진지식하우스|2018년04월23일,"13,500원"
해리. 1,공지영|해냄출판사|2018년07월30일,"13,050원"
무례한 사람에게 웃으며 대처하는 법,정문정|가나출판사|2018년01월08일,"12,420원"
