한빛미디어,처음 시작하는 R 데이터 분석,강전희 외 1명  ,2018-10-05,"19,800원"
한빛아카데미,NCS를 기반으로 한 직무 기초수학,이광연 외 2명  ,2018-10-05,"22,000원"
한빛미디어,데이터 과학을 위한 통계,피터 브루스 외 1명  ,2018-10-02,"32,000원"
한빛미디어,오준석의 안드로이드 생존코딩(코틀린 편),오준석   ,2018-10-01,"32,000원"
한빛미디어,처음 배우는 스프링 부트 2,김영재   ,2018-10-01,"22,000원"
한빛비즈,퇴근길 인문학 수업 2권 : 전환,백상경제연구원   ,2018-09-28,"17,000원"
한빛아카데미,수치해석학 바이블,Ward Cheney 외 1명  ,2018-09-28,"32,000원"
한빛비즈,돈의 마법,고경호   ,2018-09-21,"13,800원"
한빛에듀,퀴즈 그림 찾기,모이라 버터필드   ,2018-09-19,"6,000원"
한빛에듀,하나 다른 그림 찾기,조이 포터   ,2018-09-19,"6,000원"
한빛에듀,다른 그림 찾기,엘리자베스 골딩   ,2018-09-19,"6,000원"
한빛미디어,회사에서 바로 통하는 실무 엑셀+파워포인트+워드&한글,전미진 외 2명  ,2018-09-17,"22,000원"
한빛비즈,퇴근길 인문학 수업 1권 : 멈춤,백상경제연구원   ,2018-09-11,"17,000원"
한빛미디어,RxJS 프로그래밍: 75가지 핵심 문법과 예제로 익히는 RxJS 기초,이종욱 외 1명  ,2018-09-10,"32,000원"
한빛라이프,리얼 후쿠오카 PLUS 벳푸 · 유후인 [2018~2019년 최신판],나보영   ,2018-09-05,"15,000원"
한빛미디어,스프링 5 레시피(4판),마틴 데니엄(Marten Deinum) 외 2명  ,2018-09-01,"60,000원"
한빛미디어,자바를 활용한 딥러닝,조시 패터슨(Josh Patterson) 외 1명  ,2018-09-01,"38,000원"
한빛미디어,회사에서 바로 통하는 엑셀 실무 강의,전미진   ,2018-08-30,"21,000원"
한빛비즈,아마추어,앤디 메리필드   ,2018-08-30,"17,000원"
한빛비즈,우주에도 우리처럼,아베 유타카 외 1명  ,2018-08-30,"16,000원"
한빛라이프,“사랑해”를 쓰는 40가지 방법,라나 휴즈(Lana Hughes)   ,2018-08-27,"13,500원"
한빛미디어,모던 스타트업,이기곤   ,2018-08-20,"20,000원"
한빛미디어,파이썬 웹 프로그래밍(개정판),김석훈   ,2018-08-17,"22,000원"
한빛비즈,이젠 내 시간표대로 살겠습니다,미카엘라 청   ,2018-08-16,"15,000원"
한빛미디어,"피, 땀, 픽셀 : 트리플 A 게임은 어떻게 만들어지는가",제이슨 슈라이어   ,2018-08-03,"18,000원"
한빛미디어,"엔트리, 피지컬 컴퓨팅을 만나다",최현종 외 2명  ,2018-08-03,"18,000원"
한빛미디어,회사에서 바로 통하는 오토캐드 2019,심미현   ,2018-08-03,"28,000원"
한빛미디어,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2018,김덕영 외 2명  ,2018-08-03,"24,000원"
한빛미디어,맛있는 디자인 포토샵&인디자인 CC 2018,박효근 외 2명  ,2018-08-03,"24,000원"
한빛미디어,만들면서 배우는 워드프레스(개정판),박현우   ,2018-07-25,"26,000원"
한빛미디어,처음 배우는 암호화,장필리프 오마송   ,2018-07-20,"29,000원"
한빛아카데미,MATLAB으로 배우는 공학 수치해석(개정판),방성완   ,2018-07-20,"24,000원"
한빛비즈,길고양이들은 배고프지 말 것,이상교   ,2018-07-17,"13,800원"
한빛미디어,나의 첫 안드로이드 : 처음 시작하는 개발자를 위한,한동호   ,2018-07-16,"32,000원"
한빛비즈,누가 김부장을 죽였나,김영선   ,2018-07-16,"15,000원"
한빛미디어,윤피티의 SNS 콘텐츠 만들기 with 파워포인트,윤상림(윤피티)   ,2018-07-15,"18,000원"
한빛미디어,Head First Android Development : 개념과 구조를 머릿속에 그려주는 안드로이드 개발 입문서(개정판),돈 그리피스 외 1명  ,2018-07-15,"40,000원"
MAKE,"3D 프린터 101 : 기초부터 활용까지, 3D 프린터의 모든 것(개정판)",안상준   ,2018-07-15,"25,000원"
한빛미디어,그것이 R고 싶다,양중기   ,2018-07-09,"32,000원"
한빛아카데미,"IT CookBook, 모바일 UI/UX 디자인 실무",이영주   ,2018-07-09,"28,000원"
한빛라이프,리얼 뉴질랜드 [2018~2019년 최신판],박선영(Rolly) 외 1명  ,2018-07-05,"18,800원"
한빛미디어,이것이 C#이다,박상현   ,2018-07-01,"30,000원"
한빛미디어,맛있는 디자인 애프터 이펙트 CC 2018,이수정   ,2018-06-30,"24,000원"
한빛아카데미,"IT CookBook, 쉽게 배우는 운영체제",조성호   ,2018-06-30,"28,000원"
한빛아카데미,"IT CookBook, C 언어 for Beginner(개정3판)",우재남   ,2018-06-30,"23,000원"
한빛아카데미,"IT CookBook, R로 배우는 딥러닝",박혜정 외 3명  ,2018-06-30,"23,000원"
한빛비즈,대한민국 아파트 부의 지도,이상우   ,2018-06-29,"16,800원"
한빛아카데미,만만한 통계 : Excel 활용,닐 샐카인드(Neil J. Salkind)   ,2018-06-29,"26,000원"
한빛아카데미,문과생도 이해하는 확률과 통계,야마모토 토시로   ,2018-06-29,"20,000원"
한빛아카데미,"IT CookBook, 엑셀 2016",김지연   ,2018-06-29,"19,000원"
